Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'MetVDGizmoSettings' does not contain a definition for 'placedDistrictColor' and no accessible extension method 'placedDistrictColor' accepting a first argument of type 'MetVDGizmoSettings' could be found (are you missing a using directive or an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Editor	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\Editor\Gizmos\ProceduralLayoutGizmoDrawer.cs	155		
Error (active)	CS0234	The type or namespace name 'GridLayerEditor' does not exist in the namespace 'TinyWalnutGames' (are you missing an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	9		
Error (active)	CS0246	The type or namespace name 'TwoDimensionalGridSetup' could not be found (are you missing a using directive or an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	148		
Error (active)	CS0246	The type or namespace name 'TwoDimensionalGridSetup' could not be found (are you missing a using directive or an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	149		
Error (active)	CS0246	The type or namespace name 'TwoDimensionalGridSetup' could not be found (are you missing a using directive or an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	150		
Error (active)	CS0246	The type or namespace name 'TwoDimensionalGridSetup' could not be found (are you missing a using directive or an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	151		
Error (active)	CS0246	The type or namespace name 'TwoDimensionalGridSetup' could not be found (are you missing a using directive or an assembly reference?)	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	152		
Error (active)	CS0103	The name 'TwoDimensionalGridSetup' does not exist in the current context	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	161		
Error (active)	CS0103	The name 'TwoDimensionalGridSetup' does not exist in the current context	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	164		
Error (active)	CS0103	The name 'TwoDimensionalGridSetup' does not exist in the current context	TinyWalnutGames.MetVD.Authoring.Player	E:\Tiny_Walnut_Games\TWG-MetVanDamn\Assets\MetVanDAMN\Authoring\BiomeArtIntegrationSystem.cs	167		
